Date,hash_rate,mempool_size,block_size
2012-07-04,,,0.06759736
2012-07-06,13.3209874109609,,
2012-07-08,,,0.0592636666666667
2012-07-10,13.1468568565692,,
2012-07-12,,,0.0713379666666666
2012-07-14,12.9727263021776,,
2012-07-16,,,0.0943915133333333
2012-07-18,14.009601065922,,
2012-07-20,,,0.111198898648649
2012-07-22,12.8962552858487,,
2012-07-24,,,0.0766122795031056
2012-07-26,16.5146290710868,,
2012-07-28,,,0.0941847320261439
2012-07-30,18.730041758676,,
2012-08-01,,,0.0989652686567164
2012-08-03,17.5151201310862,,
2012-08-05,,,0.0983939712230216
2012-08-07,15.0852768759066,,
2012-08-09,,,0.0770062882352941
2012-08-11,15.996468096599,,
2012-08-13,,,0.1275563625
2012-08-15,18.623360014449,,
2012-08-17,,,0.126099768115942
2012-08-19,17.2075490191985,,
2012-08-21,,,0.0990185202312139
2012-08-23,17.9699087858719,,
2012-08-25,,,0.09886015942029
2012-08-27,18.0774253068439,,
2012-08-29,,,0.0818277857142858
2012-08-31,17.3494752944877,,
2012-09-02,,,0.0865872865853658
2012-09-04,15.5296002635974,,
2012-09-06,,,0.104186368421053
2012-09-08,18.7490590191164,,
2012-09-10,,,0.0952045333333333
2012-09-12,18.8829808692529,,
2012-09-14,,,0.0999173641975308
2012-09-16,20.0882775204818,,
2012-09-18,,,0.085415502994012
2012-09-20,20.9294479443629,,
2012-09-22,,,0.0724972611464968
2012-09-24,22.2108427164667,,
2012-09-26,,,0.103247228571429
2012-09-28,23.3498602916702,,
2012-09-30,,,0.0635875471698113
2012-10-02,19.3632987784582,,
2012-10-04,,,0.119388364341085
2012-10-06,21.5621828335442,,
2012-10-08,,,0.0970291741573034
2012-10-10,22.6251073394231,,
2012-10-12,,,0.0897396912751678
2012-10-14,20.9547974016134,,
2012-10-16,,,0.104634058064516
2012-10-18,23.672520961597,,
2012-10-20,,,0.092987
2012-10-22,25.3525063201619,,
2012-10-24,,,0.0948888209876543
2012-10-26,24.5888766117233,,
2012-10-28,,,0.0529228253012048
2012-10-30,24.4748066399431,,
2012-11-01,,,0.0809710437956204
2012-11-03,23.4892439564555,,
2012-11-05,,,0.09656746875
2012-11-07,25.7888902179266,,
2012-11-09,,,0.0772918815789473
2012-11-11,21.6823790367281,,
2012-11-13,,,0.0874423
2012-11-15,22.7748759110447,,
2012-11-17,,,0.119174278571429
2012-11-19,20.5978657136654,,
2012-11-21,,,0.121658782894737
2012-11-23,24.2820368169227,,
2012-11-25,,,0.118420260273973
2012-11-27,25.9842619294715,,
2012-11-29,,,0.10486665060241
2012-12-01,27.3518546626016,,
2012-12-03,,,0.0704228707482993
2012-12-05,20.5138909969512,,
2012-12-07,,,0.111617093023256
2012-12-09,22.2233819133638,,
2012-12-11,,,0.118238215277778
2012-12-13,22.7844398482441,,
2012-12-15,,,0.12423974137931
2012-12-17,21.1091133888144,,
2012-12-19,,,0.136948190140845
2012-12-21,20.2714501590996,,
2012-12-23,,,0.134197893442623
2012-12-25,20.6065154509855,,
2012-12-27,,,0.131340403846154
2012-12-29,19.8478843099254,,
2012-12-31,,,0.0885502594936709
2013-01-02,23.1064921817042,,
2013-01-04,,,0.141893150326797
2013-01-06,21.0328326269359,,
2013-01-08,,,0.149385646616541
2013-01-10,23.5842539588777,,
2013-01-12,,,0.163180352459016
2013-01-14,24.8765418470353,,
2013-01-16,,,0.180820152671756
2013-01-18,20.1919982524637,,
2013-01-20,,,0.140661276923077
2013-01-22,20.6766062105229,,
2013-01-24,,,0.150873967948718
2013-01-26,22.1367933340868,,
2013-01-28,,,0.168422965986395
2013-01-30,21.3989002229506,,
2013-02-01,,,0.17912687755102
2013-02-03,24.3504726674955,,
2013-02-05,,,0.141707173652695
2013-02-07,24.0979857085511,,
2013-02-09,,,0.17937686013986
2013-02-11,25.8890522139163,,
2013-02-13,,,0.158420643274854
2013-02-15,28.6570640858445,,
2013-02-17,,,0.126095031914894
2013-02-19,30.1278002487238,,
2013-02-21,,,0.142290948863636
2013-02-23,29.4018291583931,,
2013-02-25,,,0.149805906862745
2013-02-27,36.8430328342827,,
2013-03-01,,,0.196620559210526
2013-03-03,33.0035006440194,,
2013-03-05,,,0.194577964028777
2013-03-07,33.0035006440194,,
2013-03-09,,,0.156913059171598
2013-03-11,40.3858626301816,,
2013-03-13,,,0.167594165605095
2013-03-15,40.9662339897429,,
2013-03-17,,,0.0809794688995215
2013-03-19,47.472635858702,,
2013-03-21,,,0.127105683486238
2013-03-23,50.6053478696824,,
2013-03-25,,,0.168653263888889
2013-03-27,41.9392675675285,,
2013-03-29,,,0.177902563218391
2013-03-31,52.2576587944602,,
2013-04-02,,,0.175525701657459
2013-04-04,53.2562127841633,,
2013-04-06,,,0.158648503067485
2013-04-08,64.4611452380131,,
2013-04-10,,,0.168524062827225
2013-04-12,65.9868528176111,,
2013-04-14,,,0.175250908496732
2013-04-16,69.8011217666059,,
2013-04-18,,,0.14450087755102
2013-04-20,64.6866278222469,,
